,primaryMedia,primaryMaker,Title,Date,Classifications,Object number
24,,Georg Pencz,Virginia,1546/47,Print,1985.2.115
25,,Heinrich Aldegrever,"Mars, from the series Seven Planets",1533,Print,1985.2.116
26,,Georg Pencz,Fortune,ca. 1555,Print,1985.2.117
27,,Sebald Beham,Putti,1518/30,Print,1985.2.118
28,,René Boyvin,Portrait of Johannes Aventinus,Date unknown,Print,1985.2.119
29,,Albrecht Altdorfer,Virgin with the Child and Two Boys,1507,Print,1985.2.120
30,,Giorgio Ghisi,Hercules and Antaeus,16th century,Print,1985.2.121
31,,Hendrik Goudt,"Tobias and the Angel, also called The Large Tobias",1613,Print,1985.2.122
32,,Unidentified artist,Title unknown,Date unknown,Drawing,1985.2.123
33,,"Unknown artist, German",Title page from the Writings of the Royal Saxon Commission for History (Aus Dem Schriften der Königlich Sächsen Commission für Geschichte),ca. 1908,Print,1985.2.124
34,,Moses van Uytenbroeck,"Herdsman with Cow, Goats and Mules",Date unknown,Print,1985.2.125
35,,Cornelis Bega,Two Men and a Woman,Date unknown,Print,1985.2.126
36,,Crispijn de Passe the Elder,"Portrait of Conrad, Baron of Bemelberg and Hohenberg",1590,Print,1985.2.127
37,,Unidentified artist,Small Cottage,ca. 1900–20,Print,1985.2.128
38,,Adriaen van Ostade,Man and Woman Conversing,ca. 1671,Print,1985.2.129
39,,Adriaen van Ostade,Slaughtering the Pig,Date unknown,Print,1985.2.130
40,,"Unidentified artist, German",Portrait of Marson,ca. 1909,Print,1985.2.132
41,,"Unidentified artist, German",Portrait of Willi Geiger,ca. 1909,Print,1985.2.133
42,,Unidentified artist,Mounted Soldier,Date unknown,Print,1985.2.134
43,,Paul Gavarni,Ah! Si vous ne m'aimiez pas...,"July 3, 1847",Print,1985.2.135
44,,Paul Gavarni,Un quart d'heure pour m'habiller!...,"March 25, 1847",Print,1985.2.136
45,,Paul Gavarni,Oh hè! v'la le jour! Oh hè! bonsoir la foire aux amours!...,"April 16, 1847",Print,1985.2.137
46,,Paul Gavarni,Comme tu viens tard!,"March 21, 1847",Print,1985.2.138
47,,Sebald Beham,St. Sebald,1521,Print,1985.2.139
48,,"Unidentified artist, German",Before the Throne of King John of Leyden,ca. 1910–20,Print,1985.2.140
49,,Heinrich Wolff,Portrait of Dr. P.,1897,Print,1985.2.141
0,,Paul Gavarni,"Suis-je à votre gout comme ça, polisson?","March 8, 1847",Print,1985.2.142
1,,Urs Graf,One of the Foolish Virgins,1500/30,Print,1985.2.144
2,,Walter Kuhne,Japanese Iris,1906,Print,1985.2.145
3,,Walter Kuhne,Grasshopper on a Stalk,Date unknown,Print,1985.2.146
4,,Andreas Achenbach,Pulling in a Boat,ca. 1850–90,Print,1985.2.147
5,,Crispijn de Passe the Younger,The Happy Marriage,Date unknown,Print,1985.2.148
6,,Jacob Sandrart,Portrait of Georg Holtzschuer,ca. 1666,Print,1985.2.149
7,,Phillip Hieronymus Brinckmann,Landscape,mid-18th century,Print,1985.2.150
8,,Unidentified artist,Portrait of My Father,Date unknown,Print,1985.2.151
9,,Unidentified artist,Two Figures with a Lantern,ca. 1920,Print,1985.2.152
10,,Frank Brangwyn,"Scaffolding, S. Kensington",1904,Print,1985.2.153
11,,Johann Elias Ridinger,Woman in Landscape with Falcon and Hound,1720/67,Print,1985.2.154
12,,Johann Heinrich Vogeler,Spruce Trees,Date unknown,Print,1985.2.157
13,Image Not Available for Portrait of Albrecht Dürer,,Portrait of Albrecht Dürer,ca. 1550,Print,1985.2.158
14,,Hermann Struck,Portrait of Theodore Herzl,late 19th/20th century,Print,1985.2.159
15,,G. W. Bergfeld,Five Penguins,1908,Print,1985.2.162
16,,William Strang,Self-portrait,1895,Print,1985.2.163
17,,Anders Zorn,Self-portrait,1904,Print,1985.2.164
18,,Heinrich Wolff,Portrait of a Man,Date unknown,Print,1985.2.165
19,,Louis Graf Sparre,Cottages at Lakeside in Winter,1904,Print,1985.2.167
20,,Georg Barlosius,Ex Libris Carl G. F. Langenscheidt,1900,Print,1985.2.171
21,,Mathilde Ade,Ex Libris Roxsnyane-Prielle Cornelia,ca. 1900,Print,1985.2.172
22,,Otto Ubbelohde,Ex Libris Adolph Fischer,ca. 1880–1920,Print,1985.2.173
23,,Darto,Ex Libris Walter Mendelssohn,ca. 1880–1920,Print,1985.2.174
24,,Bruno Héroux,Ex Libris Dr. Rudolph Steinbach,ca. 1880–1920,Print,1985.2.175
25,,Willi Geiger,Ex Libris Clara Weiss,ca. 1880–1920,Print,1985.2.176
26,,Alois Kolb,Ex Libris Walter Metzenberg,ca. 1880–1920,Print,1985.2.177
27,,Willi Geiger,Ex Libris Peter Halm,1905,Print,1985.2.178
28,,"Unidentified artist, German or Dutch",Mein Hauserlein (My Little House),ca. 1920s,Print,1985.2.179
29,,Alois Kolb,Ex Libris J.J. Schaublin,ca. 1880–1920,Print,1985.2.180
30,,Willi Geiger,Ex Libris Franz von Stuck,ca. 1880–1920,Print,1985.2.181
31,,Emil Orlik,Ex Libris Franz Anderle,ca. 1880–1920,Print,1985.2.182
32,,Mathilde Ade,Ex Libris Grete Sielitz,ca. 1900,Print,1985.2.183
33,,Franz von Bayros,Ex Libris Aug. R. Ammann,ca. 1900–07,Print,1985.2.184
34,,Emil Orlik,Ex Libris Gustav Kuchler,ca. 1880–1920,Print,1985.2.185
35,,Otto Eckmann,Three Birds,ca. 1896,Print,1985.2.186
36,,Unidentified artist,Ex Libris Arthur August,ca. 1880–1920,Print,1985.2.187
37,,Paul Huldschinsky,Ex Libris F.S.,ca. 1880–1920,Print,1985.2.188
38,,Max Klinger,Ex Libris Fritz Gurlitt,ca. 1880–1920,Print,1985.2.189
39,,Franz Stassen,Ex Libris Wilhelm Felsing,ca. 1880–1920,Print,1985.2.190
40,,Mathilde Ade,Ex Libris Joseph Monsalvatje,ca. 1900,Print,1985.2.191
41,,Hubert Wilm,Ex Libris I. Kluber,ca. 1880–1920,Print,1985.2.192
42,,Mathilde Ade,Ex Libris Otto Tulius & Gemma Bierbaum,1902,Print,1985.2.193
43,,Bruno Héroux,Ex Libris Walter Mendelssohn,ca. 1880–1920,Print,1985.2.194
44,,Alfred Soder,Ex Libris Otto Wappenschmitt,1909,Print,1985.2.195
45,,Paul Huldschinsky,Ex Libris Paul H.,ca. 1880–1920,Print,1985.2.196
46,,Paul Huldschinsky,Ex Libris Kaethe Magnus,ca. 1880–1920,Print,1985.2.197
47,,Max Klinger,Ex Libris Fritz Gurlitt,ca. 1880–1920,Print,1985.2.198
48,,Johann Heinrich Vogeler,Ex Libris Erna Uhl,ca. 1880–1920,Print,1985.2.199
49,,Johann Heinrich Vogeler,Ex Libris Marie Vogeler,ca. 1880–1920,Print,1985.2.200
0,,Franz von Bayros,Ex Libris Curt Muller,ca. 1900–07,Print,1985.2.201
1,,Etienne Delaune,The Goldsmith's Shop,1576,Print,1985.2.202
2,,Sebald Beham,Moses and Aaron,1526,Print,1985.2.203
3,,Telman Von Wesel,Nativity,1490/1510,Print,1985.2.204
4,,Pieter de Molyn,"Landscape with Three Peasants and a Woman, from the suite The Landscapes",1626,Print,1985.2.205
5,,"Unidentified artist, Dutch or Flemish",Canal at dusk in the rain,ca. 1900–20,Print,1985.2.206
6,,Jan Boon,Windmill,1908,Print,1985.2.207
7,,Unidentified artist,Portrait of a Man in a Pince Nez,Date unknown,Print,1985.2.208
8,,R. Lesser,Circus Performers,ca. 1920,Print,1985.2.209
9,,Unidentified artist,Holy Family,Date unknown,Drawing,1985.2.210
10,,E. Pottner,Two Ducks on the Water,Date unknown,Print,1985.2.211
11,,Unidentified artist,Mrs. Debouty,Date unknown,Print,1985.2.212
